id,objectid,display_template,object_location,image_small,image_thumb,image_alt_text,title,creator,partof_title,creator_partof,place,publisher,volume,date,pages,format,fulltext,notes,subject,call_number,collection,title_item,author_item,in,author_book,title_book
1,object00001,record,,,,,The Acadian French,,Collections of the Nova Scotia Historical Society,,,,Vol II,1879-80,129-160.,,,,"Acadians;1775;Acadie;Acadia;Fort Lawrence;Fort Beausejour;Fort Cumberland;Deportation;Mi'kmaq;Canals;Yorkshire Settlers;Customs;Baie Verte;Tintamarre;Personal Accounts;Letters;Watson, Brook;Brown, Andrew;Morris, Charles;Monckton, Robert;Graham, Hugh",FC 2303 N93,W.P. Bell Collection of Acadiana,The Acadian French,,,,Collections of the Nova Scotia Historical Society
2,object00002,record,,,,,Rt. Hon. Sir Charles Tupper,"Allison,  David",History of Nova Scotia,"Allison, David",Halifax,A.W. Bowen,Vol III,1916,pp. 25-29,,,,"Amherst;Tupper, Charles",FC 2311 A43 1916,W.P. Bell Collection of Acadiana,Rt. Hon. Sir Charles Tupper,"Allison,  David",In,"Allison, David",History of Nova Scotia
3,object00003,record,,,,,Boundary line question,"Allison, David",History of Nova Scotia,,Halifax,A.W. Bowen,Vol II,1916,pp. 517-519,,,,Boundaries;New Brunswick;Nova Scotia;Westmorland County;Cumberland County,FC 3211 A43 1916,W.P. Bell Collection of Acadiana,Boundary line question,"Allison, David",In,"Allison, David",History of Nova Scotia
4,object00004,record,,,,,Westmorland:  Formation of Parishes,"Barnett, Cleadie",We Lived,,,,Vol.2,1979,17.,,,,Boundaries;Parishes;Westmorland County;Parish of Sackville,CS 88 N4 W4,W.P. Bell Collection of Acadiana,Westmorland:  Formation of Parishes,"Barnett, Cleadie",,,We Lived
5,object00005,record,,,,,Stillman Road Cemetery,"Barnett, Cleadie",We Lived,,,,Vol.3,1979,32,,,,"Bayside;Westmorland County;Botsford Parish;Spence Family;Fields family;Allan, Thomasina (1801-1832);Grant, John (1766-1828);Cemeteries",CS 88 N4 W4,W.P. Bell Collection of Acadiana,Stillman Road Cemetery,"Barnett, Cleadie",,,We Lived
6,object00006,record,,,,,Les cloches Acadiennes,"D'Entremont, Clarence",Cahiers de la Societe Historique Acadienne,,,,Vol. III,1968-10,22-47.,Periodical,,,Beaubassin;Tintamarre;Tantramar;Marshes;Moncton;Bells;Churches;Roman Catholics;Acadians;Deportation;Sackville;Acadia;Acadie,FC 2041 C3,W.P. Bell Collection of Acadiana,Les cloches Acadiennes,"D'Entremont, Clarence",,,Cahiers de la Societe Historique Acadienne
7,object00007,record,,,,,"Directory of Moncton City,Town of Sunnybrae, villages of Humphreys, Lewisville, Leger Corner, and Westmorland County 1919-1920.",,,,"Moncton, N.B.",Times Printing,,1919,,,,,Sunnybrae;Humphrys;1919 - 1920;Directories;Leger Corner;Moncton;Lewisville;Westmorland County,FC 2498.2 D55 1919,W.P. Bell Collection of Acadiana,,,,,"Directory of Moncton City,Town of Sunnybrae, villages of Humphreys, Lewisville, Leger Corner, and Westmorland County 1919-1920."
8,object00008,record,,,,,"The Yorkshire antecedents and American descendants of the William A. Richardson family of Sackville New Brunswick, Canada and Reading, Massachusetts.","Young, Louise R.",,,"Ellicot City, Md.",Author,,1984,70 leaves,,,,"Yorkshire, England;Sackville;Genealogy;Richardson, William A.;Richardson Family",CS 71 R5 1984,W.P. Bell Collection of Acadiana,,,,"Young, Louise R.","The Yorkshire antecedents and American descendants of the William A. Richardson family of Sackville New Brunswick, Canada and Reading, Massachusetts."
9,object00009,record,,,,,Died,,Acadian Recorder,,,,,1819-07-10,p.3  col.2,,,,"Pointe de Bute;Yorkshire Settlers;Wells, William  (1745-1819);Wells Family;Obituaries",M 5659,"W.P. Bell Collection of Acadiana, Microform Room",Died,,,,Acadian Recorder
10,object00010,record,,,,,Here stays good Yorkshire,"Bird, Will R.",,,Toronto,Ryerson,,1945,332p,,,,Yorkshire Settlers;Fort Cumberland;Eddy Rebellion;American Revolution;Fort Beausejour;Fiction;Literature;Cumberland County;Westmorland County,PS 8503 I68 H4 1945,W.P. Bell Collection of Acadiana,,,,"Bird, Will R.",Here stays good Yorkshire
11,object00011,record,,,,,Gleanings about the Wells family,"Flaglor, Mrs. J.S.",,,,,,,,,,,Yorkshire Settlers;Pointe De Bute;Methodists;Wells family,PF: GENEALOGY WELLS,W.P. Bell Collection of Acadiana,,,,"Flaglor, Mrs. J.S.",Gleanings about the Wells family
12,object00012,record,,,,,An account of the number of passengers arrived at this port (Halifax) from the 5th April Ex: to 5th July 1774.,Nova Scotia. Public Archives,Report of the Board of Trustees of the Public Archives of Nova Scotia for the year ended 30th November 1935.,,Halifax,King's Printer,,1936,p.39,,,,Ships;Passenger lists;Halifax;Albion (ship);Two Friends (ship);Thomas and William (ship);Emigration;Yorkshire settlers;1774,CA 2 NVPA R21 (1935);|PF:  YORKSHIRE SETTLERS,"Government Publications;|W.P. Bell Collection of Acadiana, Pamphlet File;",An account of the number of passengers arrived at this port (Halifax) from the 5th April Ex: to 5th July 1774.,,In,Nova Scotia. Public Archives,Report of the Board of Trustees of the Public Archives of Nova Scotia for the year ended 30th November 1935.
13,object00013,record,,,,,Lieutenant-Governor Francklin in England-the Yorkshire settlement.,"Allison, David",History of Nova Scotia,,Halifax,A.W.Bower,Vol.II,1916,pp. 464-474,,,,"Yorkshire Settlers;Duke of York (Ship);Francklin Manor;Francklin, Michael;Land Settlement;Westmorland County;Cumberland County",FC 2311 A43 1916,W.P. Bell Collection of Acadiana,Lieutenant-Governor Francklin in England-the Yorkshire settlement.,"Allison, David",In,"Allison, David",History of Nova Scotia
14,object00014,record,,,,,Francklin and His Manor,"Atkins, Pearl Mae D.",Citizen (Amherst),,,,,1974-02-13,p.5,,,,"Francklin Manor;Francklin, Michael;Yorkshire Settlers;Land settlement;Westmorland County;Cumberland County",Micro 5030,"W.P. Bell Collection of Acadiana, Microform Room",Francklin and His Manor,"Atkins, Pearl Mae D.",,,Citizen (Amherst)
15,object00015,record,,,,,"Cemetery Inscriptions:  Westmorland County, N.B.","Ayer, Douglas",,,"Sackville, N.B.",Ralph Pickard Bell Library,,1970,,,,,Westmorland County;Cemeteries;Births;Deaths;Sackville;Indexes,MICRO 5565|FC 2495 W4 A94 1988 (Index),Microform Room|W.P. Bell Collection of Acadiana,,,,"Ayer, Douglas","Cemetery Inscriptions:  Westmorland County, N.B."
16,object00016,record,,,,,Voyagers to the West:  A passage in the peopling of America on the eve of the Revolution.,"Bailyn, Bernard",,,New York,Knopf,,1986,668p.,,,,Yorkshire settlers;Land settlement;Emigration;Maps;Methodism;Westmorland County;Cumberland County;Yorkshire England,JV 7618 N7 B35 1987,W.P. Bell Collection of Acadiana,,,,"Bailyn, Bernard",Voyagers to the West:  A passage in the peopling of America on the eve of the Revolution.
17,object00017,record,,,,,Bishop Black and his Preachers.,"Betts, E. Arthur",,,"Sackville,  N.B.",Tribune Press,,1976,,Book,,,"Cumberland County;Black, William;Westmorland County;Methodists;Petitcodiac;Sackville;Amherst;Yorkshire settlers;Pointe De Bute;Religion",BX 8252 M3 B4 1976,W.P. Bell Collection of Acadiana,,,,"Betts, E. Arthur",Bishop Black and his Preachers.
18,object00018,record,,,,,Settlement patterns in Maritime Canada 1687-1786.,"Bird, Brian",Geographical Review,,,,Vol. 50,1955,385-404,,,,Yorkshire settlers;Westmorland County;Cumberland County;Land settlement;Acadians;Acadia;Methodists;Emigration;New England;Planters;Loyalists,G 1 G4,Journal Collection,Settlement patterns in Maritime Canada 1687-1786.,"Bird, Brian",,,Geographical Review
19,object00019,record,,,,,A century at Chignecto : the key to old Acadia,"Bird, Will R.",,,Toronto,Ryerson,,1928,404 p,,,,"Eddy Rebellion;Eddy, Jonathan;American Revolution;Fort Cumberland;Fort Beausejour;Fort Lawrence;Acadians;Deportation;Yorkshire Settlers;Chignecto",FC 2345 C5 B53 1928,W.P. Bell Collection of Acadiana,,,,"Bird, Will R.",A century at Chignecto : the key to old Acadia
